cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
100,Rule-Based,CAV100_Rule-Based_2000pcu_h,127,132.5,7.73,147,0,12,2.3655,0.0461,0.6428
100,Rule-Based,CAV100_Rule-Based_2800pcu_h,90,125.69,5.31,222,4,17,0.0438,0.0145,0.629
100,Rule-Based,CAV100_Rule-Based_3600pcu_h,100,130.25,6.21,388,6,30,0.113,0.0141,0.5595
100,No-V2X,CAV100_No-V2X_1200pcu_h,77,135.96,6.89,39,0,12,0.0,0.0,0.7965
100,No-V2X,CAV100_No-V2X_2000pcu_h,117,139.15,10.48,69,0,18,0.0,0.0,0.6256
100,No-V2X,CAV100_No-V2X_2800pcu_h,152,143.52,14.99,103,2,23,0.0,0.0,0.5492
100,No-V2X,CAV100_No-V2X_3600pcu_h,179,149.73,21.16,140,2,34,0.0,0.0,0.5383
100,DRL (PPO),CAV100_DRL_PPO_1200pcu_h,72,140.39,11.31,31,0,11,0.0,0.0,0.6647
100,DRL (PPO),CAV100_DRL_PPO_2000pcu_h,112,145.29,16.62,59,0,18,0.0,0.0,0.5407
100,DRL (PPO),CAV100_DRL_PPO_2800pcu_h,152,154.35,25.83,85,4,26,0.0,0.0,0.4768
100,DRL (PPO),CAV100_DRL_PPO_3600pcu_h,137,149.36,20.67,118,0,43,0.0,0.0,0.5994
