cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
100,Game (Ours),Game_Ours_2800pcu_h,172.0,137.4,7.6,131.0,0.7,18.0,0.0,0.0,0.5
100,Game (Ours),Game_Ours_3600pcu_h,217.7,141.9,12.1,176.3,0.7,22.7,0.0,0.0,0.4
100,SUMO Default,SUMO_Default_1200pcu_h,61.0,149.4,20.0,0.0,0.0,10.0,16.7,0.6,0.7
100,SUMO Default,SUMO_Default_2000pcu_h,35.0,138.8,9.8,0.0,0.0,54.0,14.9,0.3,0.8
100,SUMO Default,SUMO_Default_2800pcu_h,41.0,137.7,9.4,0.0,2.0,72.0,15.0,0.3,0.5
100,SUMO Default,SUMO_Default_3600pcu_h,57.0,161.8,34.0,0.0,0.0,92.0,16.6,0.3,0.4
100,Rule-Based,Rule-Based_1200pcu_h,39.3,122.0,1.5,75.0,12.0,8.0,0.0,0.0,1.1
100,Rule-Based,Rule-Based_2000pcu_h,123.3,127.8,3.1,130.0,0.0,12.0,0.0,0.0,0.7
100,Rule-Based,Rule-Based_2800pcu_h,111.0,122.9,5.2,221.0,7.3,16.0,0.4,0.0,0.6
100,Rule-Based,Rule-Based_3600pcu_h,95.7,131.7,6.3,411.3,9.3,29.3,0.2,0.0,0.5
100,No-V2X,No-V2X_1200pcu_h,75.0,133.5,2.5,34.3,0.0,10.7,0.0,0.0,0.9
100,No-V2X,No-V2X_2000pcu_h,127.0,135.1,5.0,52.0,0.7,17.7,0.0,0.0,0.7
100,No-V2X,No-V2X_2800pcu_h,170.3,137.9,8.1,96.7,0.7,26.0,0.0,0.0,0.6
100,No-V2X,No-V2X_3600pcu_h,213.0,142.1,12.3,132.7,0.7,36.7,0.0,0.0,0.5
100,DRL (PPO),DRL_PPO_1200pcu_h,75.0,133.9,2.8,30.0,0.0,10.0,0.0,0.0,0.9
100,DRL (PPO),DRL_PPO_2000pcu_h,125.7,135.9,5.7,45.3,1.3,16.7,0.0,0.0,0.7
100,DRL (PPO),DRL_PPO_2800pcu_h,168.3,139.5,9.8,63.3,1.3,28.3,0.0,0.0,0.6
100,DRL (PPO),DRL_PPO_3600pcu_h,204.7,144.4,14.7,79.3,2.0,40.7,0.0,0.0,0.5
