cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
30,Game (Ours),Game_Ours_1200pcu_h,79,128.27,8.98,18,0,12,0.0,0.0,0.6194
30,Game (Ours),Game_Ours_1200pcu_h,76,126.9,9.0,10,0,11,0.0,0.0,0.5507
30,Game (Ours),Game_Ours_1200pcu_h,78,125.44,7.52,7,0,11,0.0,0.0,0.5488
30,Game (Ours),Game_Ours_2000pcu_h,121,131.34,12.85,12,0,24,0.0,0.0,0.518
30,Game (Ours),Game_Ours_2000pcu_h,125,134.36,16.84,29,0,22,0.0,0.0,0.5042
30,Game (Ours),Game_Ours_2000pcu_h,126,137.23,19.0,19,0,21,0.0,0.0,0.4755
30,Game (Ours),Game_Ours_2800pcu_h,169,140.33,22.33,31,0,28,0.0,0.0,0.4705
30,Game (Ours),Game_Ours_2800pcu_h,171,138.09,20.73,28,0,32,0.0,0.0,0.5111
30,Game (Ours),Game_Ours_2800pcu_h,166,142.17,24.14,23,0,28,0.0,0.0,0.4334
30,Game (Ours),Game_Ours_3600pcu_h,210,146.22,27.92,44,0,44,0.0,0.0,0.4035
30,Game (Ours),Game_Ours_3600pcu_h,209,145.31,27.9,46,0,43,0.0,0.0,0.4603
30,Game (Ours),Game_Ours_3600pcu_h,208,155.71,37.8,43,2,43,0.0,0.0,0.4146
30,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
30,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
30,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
30,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
30,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
30,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
30,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
30,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
30,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
30,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
30,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
30,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
30,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.27,8,2,28,7.9812,0.1095,0.0
30,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.27,8,2,28,7.8591,0.1125,0.0
30,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.27,8,2,28,8.4958,0.1143,0.0
30,Rule-Based,Rule-Based_2000pcu_h,3,113.17,-0.4,26,4,45,9.716,0.1254,0.0
30,Rule-Based,Rule-Based_2000pcu_h,3,113.17,-0.4,26,4,45,10.7747,0.1461,0.0
30,Rule-Based,Rule-Based_2000pcu_h,3,113.17,-0.39,28,4,45,10.8557,0.1411,0.0
30,Rule-Based,Rule-Based_2800pcu_h,2,109.2,-0.28,0,6,92,9.401,0.1219,0.0
30,Rule-Based,Rule-Based_2800pcu_h,2,109.2,-0.28,29,4,68,9.6832,0.1179,0.0
30,Rule-Based,Rule-Based_2800pcu_h,2,109.2,-0.28,32,4,69,9.0691,0.1224,0.0
30,Rule-Based,Rule-Based_3600pcu_h,3,112.03,-0.41,37,4,83,10.9916,0.1319,0.0
30,Rule-Based,Rule-Based_3600pcu_h,3,112.03,-0.41,30,4,83,10.2753,0.1312,0.0
30,Rule-Based,Rule-Based_3600pcu_h,3,112.03,-0.41,38,4,83,11.6391,0.1367,0.0
30,No-V2X,No-V2X_1200pcu_h,79,127.7,8.4,13,0,12,0.0,0.0,0.528
30,No-V2X,No-V2X_1200pcu_h,78,127.23,9.66,9,0,11,0.0,0.0,0.5719
30,No-V2X,No-V2X_1200pcu_h,78,125.28,7.36,8,0,12,0.0,0.0,0.5496
30,No-V2X,No-V2X_2000pcu_h,121,132.04,13.55,11,0,24,0.0,0.0,0.5408
30,No-V2X,No-V2X_2000pcu_h,127,130.17,12.87,23,0,21,0.0,0.0,0.465
30,No-V2X,No-V2X_2000pcu_h,125,139.71,21.33,20,0,20,0.0,0.0,0.4839
30,No-V2X,No-V2X_2800pcu_h,170,139.1,20.99,21,0,28,0.0,0.0,0.461
30,No-V2X,No-V2X_2800pcu_h,173,138.81,21.53,26,0,31,0.0,0.0,0.4277
30,No-V2X,No-V2X_2800pcu_h,165,140.54,22.57,18,0,32,0.0,0.0,0.4618
30,No-V2X,No-V2X_3600pcu_h,209,145.53,27.4,47,0,44,0.0,0.0,0.4227
30,No-V2X,No-V2X_3600pcu_h,213,144.32,27.12,35,0,43,0.0,0.0,0.4587
30,No-V2X,No-V2X_3600pcu_h,204,152.38,34.61,40,4,42,0.0,0.0,0.4373
30,DRL (PPO),DRL_PPO_1200pcu_h,79,126.98,7.69,9,0,11,0.0,0.0,0.5273
30,DRL (PPO),DRL_PPO_1200pcu_h,79,125.23,7.68,11,0,11,0.0,0.0,0.5218
30,DRL (PPO),DRL_PPO_1200pcu_h,77,125.85,8.06,6,0,12,0.0,0.0,0.5501
30,DRL (PPO),DRL_PPO_2000pcu_h,122,132.24,13.78,11,0,24,0.0,0.0,0.4713
30,DRL (PPO),DRL_PPO_2000pcu_h,128,129.73,12.24,17,0,19,0.0,0.0,0.5007
30,DRL (PPO),DRL_PPO_2000pcu_h,127,136.2,18.0,15,0,21,0.0,0.0,0.4545
30,DRL (PPO),DRL_PPO_2800pcu_h,170,139.02,21.21,17,0,32,0.0,0.0,0.4636
30,DRL (PPO),DRL_PPO_2800pcu_h,171,139.68,22.24,15,0,31,0.0,0.0,0.4379
30,DRL (PPO),DRL_PPO_2800pcu_h,160,144.69,26.76,15,0,34,0.0,0.0,0.4256
30,DRL (PPO),DRL_PPO_3600pcu_h,200,145.94,28.02,29,0,44,0.0,0.0,0.4148
30,DRL (PPO),DRL_PPO_3600pcu_h,216,143.48,26.28,18,0,42,0.0,0.0,0.4122
30,DRL (PPO),DRL_PPO_3600pcu_h,196,155.29,38.32,33,6,44,0.0,0.0,0.417
50,Game (Ours),Game_Ours_1200pcu_h,79,128.75,6.15,21,0,11,0.0,0.0,0.6123
50,Game (Ours),Game_Ours_1200pcu_h,76,127.66,6.42,23,0,12,0.0,0.0,0.6026
50,Game (Ours),Game_Ours_1200pcu_h,74,131.32,8.68,18,0,12,0.0,0.0,0.7125
50,Game (Ours),Game_Ours_2000pcu_h,123,140.05,18.06,28,0,23,0.0,0.0,0.5804
50,Game (Ours),Game_Ours_2000pcu_h,124,135.8,14.8,33,0,19,0.0,0.0,0.5701
50,Game (Ours),Game_Ours_2000pcu_h,121,135.08,12.89,21,0,18,0.0,0.0,0.5489
50,Game (Ours),Game_Ours_2800pcu_h,163,140.8,19.25,42,0,31,0.0,0.0,0.5283
50,Game (Ours),Game_Ours_2800pcu_h,172,141.61,20.56,37,0,27,0.0,0.0,0.4645
50,Game (Ours),Game_Ours_2800pcu_h,169,143.74,22.34,37,0,31,0.0,0.0,0.5577
50,Game (Ours),Game_Ours_3600pcu_h,215,145.53,24.09,92,0,37,0.0,0.0,0.4266
50,Game (Ours),Game_Ours_3600pcu_h,213,146.55,25.58,78,0,41,0.0,0.0,0.5268
50,Game (Ours),Game_Ours_3600pcu_h,204,142.33,21.38,50,0,39,0.0,0.0,0.4925
50,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
50,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
50,SUMO Default,SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
50,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
50,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
50,SUMO Default,SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
50,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
50,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
50,SUMO Default,SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
50,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
50,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
50,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
50,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.28,24,2,21,6.4738,0.0911,0.0
50,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.28,24,2,21,6.7613,0.0935,0.0
50,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.28,24,2,21,6.4041,0.0881,0.0
50,Rule-Based,Rule-Based_2000pcu_h,3,118.2,-0.35,45,2,41,6.5233,0.0918,0.0
50,Rule-Based,Rule-Based_2000pcu_h,3,118.2,-0.35,46,2,41,6.5751,0.09,0.0
